"Other effects of air pressure and water pressure, sequela",T708
"Asphyxiation due to mechanical threat to breathing due to other causes, accidental, subsequent encounter",T711
"Asphyxiation due to mechanical threat to breathing due to other causes, accidental, sequela",T711
"Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm, initial encounter",T711
"Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm, subsequent encounter",T711
"Asphyxiation due to mechanical threat to breathing due to other causes, intentional self-harm, sequela",T711
"Asphyxiation due to mechanical threat to breathing due to other causes, assault, initial encounter",T711
"Asphyxiation due to mechanical threat to breathing due to other causes, assault, subsequent encounter",T711
"Asphyxiation due to mechanical threat to breathing due to other causes, assault, sequela",T711
"Asphyxiation due to mechanical threat to breathing due to other causes, undetermined, initial encounter",T711
"Asphyxiation due to mechanical threat to breathing due to other causes, undetermined, subsequent encounter",T711
"Asphyxiation due to mechanical threat to breathing due to other causes, undetermined, sequela",T711
"Asphyxiation due to systemic oxygen deficiency due to low oxygen content in ambient air due to unspecified cause, initial encounter",T712
"Asphyxiation due to systemic oxygen deficiency due to low oxygen content in ambient air due to unspecified cause, subsequent encounter",T712
"Asphyxiation due to systemic oxygen deficiency due to low oxygen content in ambient air due to unspecified cause, sequela",T712
"Asphyxiation due to cave-in or falling earth, initial encounter",T712
"Asphyxiation due to cave-in or falling earth, subsequent encounter",T712
"Asphyxiation due to cave-in or falling earth, sequela",T712
"Asphyxiation due to being trapped in a car trunk, accidental, initial encounter",T712
"Asphyxiation due to being trapped in a car trunk, accidental, subsequent encounter",T712
"Asphyxiation due to being trapped in a car trunk, accidental, sequela",T712
"Asphyxiation due to being trapped in a car trunk, intentional self-harm, initial encounter",T712
"Asphyxiation due to being trapped in a car trunk, intentional self-harm, subsequent encounter",T712
"Asphyxiation due to being trapped in a car trunk, intentional self-harm, sequela",T712
"Asphyxiation due to being trapped in a car trunk, assault, initial encounter",T712
"Asphyxiation due to being trapped in a car trunk, assault, subsequent encounter",T712
"Asphyxiation due to being trapped in a car trunk, assault, sequela",T712
"Asphyxiation due to being trapped in a car trunk, undetermined, initial encounter",T712
"Asphyxiation due to being trapped in a car trunk, undetermined, subsequent encounter",T712
"Asphyxiation due to being trapped in a car trunk, undetermined, sequela",T712
"Asphyxiation due to being trapped in a (discarded) refrigerator, accidental, initial encounter",T712
"Asphyxiation due to being trapped in a (discarded) refrigerator, accidental, subsequent encounter",T712
"Asphyxiation due to being trapped in a (discarded) refrigerator, accidental, sequela",T712
"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, initial encounter",T712
"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, subsequent encounter",T712
"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, sequela",T712
"Asphyxiation due to being trapped in a (discarded) refrigerator, assault, initial encounter",T712
"Asphyxiation due to being trapped in a (discarded) refrigerator, assault, subsequent encounter",T712
"Asphyxiation due to being trapped in a (discarded) refrigerator, assault, sequela",T712
"Asphyxiation due to being trapped in a (discarded) refrigerator, undetermined, initial encounter",T712
"Asphyxiation due to being trapped in a (discarded) refrigerator, undetermined, subsequent encounter",T712
"Asphyxiation due to being trapped in a (discarded) refrigerator, undetermined, sequela",T712
"Asphyxiation due to being trapped in other low oxygen environment, initial encounter",T712
"Asphyxiation due to being trapped in other low oxygen environment, subsequent encounter",T712
"Asphyxiation due to being trapped in other low oxygen environment, sequela",T712
"Asphyxiation due to unspecified cause, initial encounter",T719
"Asphyxiation due to unspecified cause, subsequent encounter",T719
"Asphyxiation due to unspecified cause, sequela",T719
"Starvation, initial encounter",T730
"Starvation, subsequent encounter",T730
"Starvation, sequela",T730
"Deprivation of water, initial encounter",T731
"Deprivation of water, subsequent encounter",T731
"Deprivation of water, sequela",T731
"Exhaustion due to exposure, initial encounter",T732
"Exhaustion due to exposure, subsequent encounter",T732
"Exhaustion due to exposure, sequela",T732
"Exhaustion due to excessive exertion, initial encounter",T733
"Exhaustion due to excessive exertion, subsequent encounter",T733
"Exhaustion due to excessive exertion, sequela",T733
"Other effects of deprivation, initial encounter",T738
"Other effects of deprivation, subsequent encounter",T738
"Other effects of deprivation, sequela",T738
"Effect of deprivation, unspecified, initial encounter",T739
"Effect of deprivation, unspecified, subsequent encounter",T739
"Effect of deprivation, unspecified, sequela",T739
"Adult neglect or abandonment, confirmed, initial encounter",T740
"Adult neglect or abandonment, confirmed, subsequent encounter",T740
"Adult neglect or abandonment, confirmed, sequela",T740
"Child neglect or abandonment, confirmed, initial encounter",T740
"Child neglect or abandonment, confirmed, subsequent encounter",T740
"Child neglect or abandonment, confirmed, sequela",T740
"Adult physical abuse, confirmed, initial encounter",T741
"Adult physical abuse, confirmed, subsequent encounter",T741
"Adult physical abuse, confirmed, sequela",T741
"Child physical abuse, confirmed, initial encounter",T741
"Child physical abuse, confirmed, subsequent encounter",T741
"Child physical abuse, confirmed, sequela",T741
"Adult sexual abuse, confirmed, initial encounter",T742
"Adult sexual abuse, confirmed, subsequent encounter",T742
"Adult sexual abuse, confirmed, sequela",T742
"Child sexual abuse, confirmed, initial encounter",T742
"Child sexual abuse, confirmed, subsequent encounter",T742
"Child sexual abuse, confirmed, sequela",T742
"Adult psychological abuse, confirmed, initial encounter",T743
"Adult psychological abuse, confirmed, subsequent encounter",T743
"Adult psychological abuse, confirmed, sequela",T743
"Child psychological abuse, confirmed, initial encounter",T743
"Child psychological abuse, confirmed, subsequent encounter",T743
"Child psychological abuse, confirmed, sequela",T743
"Shaken infant syndrome, initial encounter",T744
"Shaken infant syndrome, subsequent encounter",T744
"Shaken infant syndrome, sequela",T744
"Unspecified adult maltreatment, confirmed, initial encounter",T749
"Unspecified adult maltreatment, confirmed, subsequent encounter",T749
"Unspecified adult maltreatment, confirmed, sequela",T749
"Unspecified child maltreatment, confirmed, initial encounter",T749
"Unspecified child maltreatment, confirmed, subsequent encounter",T749
"Unspecified child maltreatment, confirmed, sequela",T749
"Unspecified effects of lightning, initial encounter",T750
"Unspecified effects of lightning, subsequent encounter",T750
"Unspecified effects of lightning, sequela",T750
"Shock due to being struck by lightning, initial encounter",T750
"Shock due to being struck by lightning, subsequent encounter",T750
"Shock due to being struck by lightning, sequela",T750
"Other effects of lightning, initial encounter",T750
"Other effects of lightning, subsequent encounter",T750
"Other effects of lightning, sequela",T750
"Unspecified effects of drowning and nonfatal submersion, initial encounter",T751
"Unspecified effects of drowning and nonfatal submersion, subsequent encounter",T751
"Unspecified effects of drowning and nonfatal submersion, sequela",T751
"Unspecified effects of vibration, initial encounter",T752
"Unspecified effects of vibration, subsequent encounter",T752
"Unspecified effects of vibration, sequela",T752
"Pneumatic hammer syndrome, initial encounter",T752
"Pneumatic hammer syndrome, subsequent encounter",T752
"Pneumatic hammer syndrome, sequela",T752
"Traumatic vasospastic syndrome, initial encounter",T752
"Traumatic vasospastic syndrome, subsequent encounter",T752
"Traumatic vasospastic syndrome, sequela",T752
"Vertigo from infrasound, initial encounter",T752
"Vertigo from infrasound, subsequent encounter",T752
"Vertigo from infrasound, sequela",T752
"Other effects of vibration, initial encounter",T752
"Other effects of vibration, subsequent encounter",T752
"Other effects of vibration, sequela",T752
"Motion sickness, initial encounter",T753
"Motion sickness, subsequent encounter",T753
"Motion sickness, sequela",T753
"Electrocution, initial encounter",T754
"Electrocution, subsequent encounter",T754
"Electrocution, sequela",T754
"Effects of abnormal gravitation [G] forces, initial encounter",T758
"Effects of abnormal gravitation [G] forces, subsequent encounter",T758
"Effects of abnormal gravitation [G] forces, sequela",T758
"Effects of weightlessness, initial encounter",T758
"Effects of weightlessness, subsequent encounter",T758
"Effects of weightlessness, sequela",T758
"Other specified effects of external causes, initial encounter",T758
"Other specified effects of external causes, subsequent encounter",T758
"Other specified effects of external causes, sequela",T758
"Adult neglect or abandonment, suspected, initial encounter",T760
"Adult neglect or abandonment, suspected, subsequent encounter",T760
"Adult neglect or abandonment, suspected, sequela",T760
"Child neglect or abandonment, suspected, initial encounter",T760
"Child neglect or abandonment, suspected, subsequent encounter",T760
"Child neglect or abandonment, suspected, sequela",T760
"Adult physical abuse, suspected, initial encounter",T761
"Adult physical abuse, suspected, subsequent encounter",T761
"Adult physical abuse, suspected, sequela",T761
"Child physical abuse, suspected, initial encounter",T761
"Child physical abuse, suspected, subsequent encounter",T761
"Child physical abuse, suspected, sequela",T761
"Adult sexual abuse, suspected, initial encounter",T762
"Adult sexual abuse, suspected, subsequent encounter",T762
"Adult sexual abuse, suspected, sequela",T762
"Child sexual abuse, suspected, initial encounter",T762
"Child sexual abuse, suspected, subsequent encounter",T762
"Child sexual abuse, suspected, sequela",T762
"Adult psychological abuse, suspected, initial encounter",T763
"Adult psychological abuse, suspected, subsequent encounter",T763
"Adult psychological abuse, suspected, sequela",T763
"Child psychological abuse, suspected, initial encounter",T763
"Child psychological abuse, suspected, subsequent encounter",T763
"Child psychological abuse, suspected, sequela",T763
"Unspecified adult maltreatment, suspected, initial encounter",T769
"Unspecified adult maltreatment, suspected, subsequent encounter",T769
"Unspecified adult maltreatment, suspected, sequela",T769
"Unspecified child maltreatment, suspected, initial encounter",T769
"Unspecified child maltreatment, suspected, subsequent encounter",T769
"Unspecified child maltreatment, suspected, sequela",T769
"Anaphylactic reaction due to unspecified food, initial encounter",T780
"Anaphylactic reaction due to unspecified food, subsequent encounter",T780
"Anaphylactic reaction due to unspecified food, sequela",T780
"Anaphylactic reaction due to peanuts, initial encounter",T780
"Anaphylactic reaction due to peanuts, subsequent encounter",T780
"Anaphylactic reaction due to peanuts, sequela",T780
"Anaphylactic reaction due to shellfish (crustaceans), initial encounter",T780
"Anaphylactic reaction due to shellfish (crustaceans), subsequent encounter",T780
"Anaphylactic reaction due to shellfish (crustaceans), sequela",T780
"Anaphylactic reaction due to other fish, initial encounter",T780
"Anaphylactic reaction due to other fish, subsequent encounter",T780
"Anaphylactic reaction due to other fish, sequela",T780
"Anaphylactic reaction due to fruits and vegetables, initial encounter",T780
"Anaphylactic reaction due to fruits and vegetables, subsequent encounter",T780
"Anaphylactic reaction due to fruits and vegetables, sequela",T780
"Anaphylactic reaction due to tree nuts and seeds, initial encounter",T780
"Anaphylactic reaction due to tree nuts and seeds, subsequent encounter",T780
"Anaphylactic reaction due to tree nuts and seeds, sequela",T780
"Anaphylactic reaction due to food additives, initial encounter",T780
"Anaphylactic reaction due to food additives, subsequent encounter",T780
"Anaphylactic reaction due to food additives, sequela",T780
"Anaphylactic reaction due to milk and dairy products, initial encounter",T780
"Anaphylactic reaction due to milk and dairy products, subsequent encounter",T780
"Anaphylactic reaction due to milk and dairy products, sequela",T780
"Anaphylactic reaction due to eggs, initial encounter",T780
"Anaphylactic reaction due to eggs, subsequent encounter",T780
"Anaphylactic reaction due to eggs, sequela",T780
"Anaphylactic reaction due to other food products, initial encounter",T780
"Anaphylactic reaction due to other food products, subsequent encounter",T780
"Anaphylactic reaction due to other food products, sequela",T780
"Other adverse food reactions, not elsewhere classified, initial encounter",T781
"Other adverse food reactions, not elsewhere classified, subsequent encounter",T781
"Other adverse food reactions, not elsewhere classified, sequela",T781
"Anaphylactic shock, unspecified, initial encounter",T782
"Anaphylactic shock, unspecified, subsequent encounter",T782
"Anaphylactic shock, unspecified, sequela",T782
"Angioneurotic edema, initial encounter",T783
"Angioneurotic edema, subsequent encounter",T783
"Angioneurotic edema, sequela",T783
"Allergy, unspecified, initial encounter",T784
"Allergy, unspecified, subsequent encounter",T784
"Allergy, unspecified, sequela",T784
"Arthus phenomenon, initial encounter",T784
"Arthus phenomenon, subsequent encounter",T784
"Arthus phenomenon, sequela",T784
"Other allergy, initial encounter",T784
"Other allergy, subsequent encounter",T784
"Other allergy, sequela",T784
"Other adverse effects, not elsewhere classified, initial encounter",T788
"Other adverse effects, not elsewhere classified, subsequent encounter",T788
"Other adverse effects, not elsewhere classified, sequela",T788
"Air embolism (traumatic), initial encounter",T790
"Air embolism (traumatic), subsequent encounter",T790
"Air embolism (traumatic), sequela",T790
"Fat embolism (traumatic), initial encounter",T791
"Fat embolism (traumatic), subsequent encounter",T791
"Fat embolism (traumatic), sequela",T791
"Traumatic secondary and recurrent hemorrhage and seroma, initial encounter",T792
"Traumatic secondary and recurrent hemorrhage and seroma, subsequent encounter",T792
"Traumatic secondary and recurrent hemorrhage and seroma, sequela",T792
"Traumatic shock, initial encounter",T794
"Traumatic shock, subsequent encounter",T794
"Traumatic shock, sequela",T794
"Traumatic anuria, initial encounter",T795
"Traumatic anuria, subsequent encounter",T795
"Traumatic anuria, sequela",T795
"Traumatic ischemia of muscle, initial encounter",T796
"Traumatic ischemia of muscle, subsequent encounter",T796
"Traumatic ischemia of muscle, sequela",T796
"Traumatic subcutaneous emphysema, initial encounter",T797
"Traumatic subcutaneous emphysema, subsequent encounter",T797
"Traumatic subcutaneous emphysema, sequela",T797
"Other early complications of trauma, initial encounter",T798
"Other early complications of trauma, subsequent encounter",T798
"Other early complications of trauma, sequela",T798
"Unspecified early complication of trauma, initial encounter",T799
"Unspecified early complication of trauma, subsequent encounter",T799
"Unspecified early complication of trauma, sequela",T799
"Compartment syndrome, unspecified, initial encounter",T79A
"Compartment syndrome, unspecified, subsequent encounter",T79A
"Compartment syndrome, unspecified, sequela",T79A
"Traumatic compartment syndrome of right upper extremity, initial encounter",T79A
"Traumatic compartment syndrome of right upper extremity, subsequent encounter",T79A
"Traumatic compartment syndrome of right upper extremity, sequela",T79A
"Traumatic compartment syndrome of left upper extremity, initial encounter",T79A
"Traumatic compartment syndrome of left upper extremity, subsequent encounter",T79A
"Traumatic compartment syndrome of left upper extremity, sequela",T79A
"Traumatic compartment syndrome of unspecified upper extremity, initial encounter",T79A
"Traumatic compartment syndrome of unspecified upper extremity, subsequent encounter",T79A
"Traumatic compartment syndrome of unspecified upper extremity, sequela",T79A
"Traumatic compartment syndrome of right lower extremity, initial encounter",T79A
"Traumatic compartment syndrome of right lower extremity, subsequent encounter",T79A
"Traumatic compartment syndrome of right lower extremity, sequela",T79A
"Traumatic compartment syndrome of left lower extremity, initial encounter",T79A
"Traumatic compartment syndrome of left lower extremity, subsequent encounter",T79A
"Traumatic compartment syndrome of left lower extremity, sequela",T79A
"Traumatic compartment syndrome of unspecified lower extremity, initial encounter",T79A
"Traumatic compartment syndrome of unspecified lower extremity, subsequent encounter",T79A
"Traumatic compartment syndrome of unspecified lower extremity, sequela",T79A
"Traumatic compartment syndrome of abdomen, initial encounter",T79A
"Traumatic compartment syndrome of abdomen, subsequent encounter",T79A
"Traumatic compartment syndrome of abdomen, sequela",T79A
"Traumatic compartment syndrome of other sites, initial encounter",T79A
"Traumatic compartment syndrome of other sites, subsequent encounter",T79A
"Traumatic compartment syndrome of other sites, sequela",T79A
"Air embolism following infusion, transfusion and therapeutic injection, initial encounter",T800
"Air embolism following infusion, transfusion and therapeutic injection, subsequent encounter",T800
"Air embolism following infusion, transfusion and therapeutic injection, sequela",T800
"Vascular complications following infusion, transfusion and therapeutic injection, initial encounter",T801
"Vascular complications following infusion, transfusion and therapeutic injection, subsequent encounter",T801
"Vascular complications following infusion, transfusion and therapeutic injection, sequela",T801
"Bloodstream infection due to central venous catheter, initial encounter",T802
"Bloodstream infection due to central venous catheter, subsequent encounter",T802
"Bloodstream infection due to central venous catheter, sequela",T802
"Local infection due to central venous catheter, initial encounter",T802
"Local infection due to central venous catheter, subsequent encounter",T802
"Local infection due to central venous catheter, sequela",T802
"Other infection due to central venous catheter, initial encounter",T802
"Other infection due to central venous catheter, subsequent encounter",T802
"Other infection due to central venous catheter, sequela",T802
"Unspecified infection due to central venous catheter, initial encounter",T802
"Unspecified infection due to central venous catheter, subsequent encounter",T802
"Unspecified infection due to central venous catheter, sequela",T802
"Acute infection following transfusion, infusion, or injection of blood and blood products, initial encounter",T802
"Acute infection following transfusion, infusion, or injection of blood and blood products, subsequent encounter",T802
"Acute infection following transfusion, infusion, or injection of blood and blood products, sequela",T802
"Infection following other infusion, transfusion and therapeutic injection, initial encounter",T802
"Infection following other infusion, transfusion and therapeutic injection, subsequent encounter",T802
"Infection following other infusion, transfusion and therapeutic injection, sequela",T802
"ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, initial encounter",T803
"ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, subsequent encounter",T803
"ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, sequela",T803
"ABO incompatibility with acute hemolytic transfusion reaction, initial encounter",T803
"ABO incompatibility with acute hemolytic transfusion reaction, subsequent encounter",T803
"ABO incompatibility with acute hemolytic transfusion reaction, sequela",T803
"ABO incompatibility with delayed hemolytic transfusion reaction, initial encounter",T803
"ABO incompatibility with delayed hemolytic transfusion reaction, subsequent encounter",T803
"ABO incompatibility with delayed hemolytic transfusion reaction, sequela",T803
"ABO incompatibility with hemolytic transfusion reaction, unspecified, initial encounter",T803
"ABO incompatibility with hemolytic transfusion reaction, unspecified, subsequent encounter",T803
"ABO incompatibility with hemolytic transfusion reaction, unspecified, sequela",T803
"Other ABO incompatibility reaction due to transfusion of blood or blood products, initial encounter",T803
"Other ABO incompatibility reaction due to transfusion of blood or blood products, subsequent encounter",T803
"Other ABO incompatibility reaction due to transfusion of blood or blood products, sequela",T803
"Rh incompatibility reaction due to transfusion of blood or blood products, unspecified, initial encounter",T804
"Rh incompatibility reaction due to transfusion of blood or blood products, unspecified, subsequent encounter",T804
"Rh incompatibility reaction due to transfusion of blood or blood products, unspecified, sequela",T804
"Rh incompatibility with acute hemolytic transfusion reaction, initial encounter",T804
"Rh incompatibility with acute hemolytic transfusion reaction, subsequent encounter",T804
"Rh incompatibility with acute hemolytic transfusion reaction, sequela",T804
"Rh incompatibility with delayed hemolytic transfusion reaction, initial encounter",T804
"Rh incompatibility with delayed hemolytic transfusion reaction, subsequent encounter",T804
"Rh incompatibility with delayed hemolytic transfusion reaction, sequela",T804
"Rh incompatibility with hemolytic transfusion reaction, unspecified, initial encounter",T804
"Rh incompatibility with hemolytic transfusion reaction, unspecified, subsequent encounter",T804
"Rh incompatibility with hemolytic transfusion reaction, unspecified, sequela",T804
"Other Rh incompatibility reaction due to transfusion of blood or blood products, initial encounter",T804
"Other Rh incompatibility reaction due to transfusion of blood or blood products, subsequent encounter",T804
"Other Rh incompatibility reaction due to transfusion of blood or blood products, sequela",T804
"Anaphylactic reaction due to administration of blood and blood products, initial encounter",T805
"Anaphylactic reaction due to administration of blood and blood products, subsequent encounter",T805
"Anaphylactic reaction due to administration of blood and blood products, sequela",T805
"Anaphylactic reaction due to vaccination, initial encounter",T805
"Anaphylactic reaction due to vaccination, subsequent encounter",T805
"Anaphylactic reaction due to vaccination, sequela",T805
"Anaphylactic reaction due to other serum, initial encounter",T805
"Anaphylactic reaction due to other serum, subsequent encounter",T805
"Anaphylactic reaction due to other serum, sequela",T805
"Other serum reaction due to administration of blood and blood products, initial encounter",T806
"Other serum reaction due to administration of blood and blood products, subsequent encounter",T806
"Other serum reaction due to administration of blood and blood products, sequela",T806
"Other serum reaction due to vaccination, initial encounter",T806
"Other serum reaction due to vaccination, subsequent encounter",T806
"Other serum reaction due to vaccination, sequela",T806
"Other serum reaction due to other serum, initial encounter",T806
"Other serum reaction due to other serum, subsequent encounter",T806
"Other serum reaction due to other serum, sequela",T806
"Extravasation of vesicant antineoplastic chemotherapy, initial encounter",T808
"Extravasation of vesicant antineoplastic chemotherapy, subsequent encounter",T808
"Extravasation of vesicant antineoplastic chemotherapy, sequela",T808
"Extravasation of other vesicant agent, initial encounter",T808
"Extravasation of other vesicant agent, subsequent encounter",T808
"Extravasation of other vesicant agent, sequela",T808
"Other complications following infusion, transfusion and therapeutic injection, initial encounter",T808
"Other complications following infusion, transfusion and therapeutic injection, subsequent encounter",T808
"Other complications following infusion, transfusion and therapeutic injection, sequela",T808
"Unspecified complication following infusion and therapeutic injection, initial encounter",T809
"Unspecified complication following infusion and therapeutic injection, subsequent encounter",T809
"Unspecified complication following infusion and therapeutic injection, sequela",T809
"Acute hemolytic transfusion reaction, unspecified incompatibility, initial encounter",T809
"Acute hemolytic transfusion reaction, unspecified incompatibility, subsequent encounter",T809
"Acute hemolytic transfusion reaction, unspecified incompatibility, sequela",T809
"Delayed hemolytic transfusion reaction, unspecified incompatibility, initial encounter",T809
"Delayed hemolytic transfusion reaction, unspecified incompatibility, subsequent encounter",T809
"Delayed hemolytic transfusion reaction, unspecified incompatibility, sequela",T809
"Hemolytic transfusion reaction, unspecified incompatibility, unspecified as acute or delayed, initial encounter",T809
"Hemolytic transfusion reaction, unspecified incompatibility, unspecified as acute or delayed, subsequent encounter",T809
"Hemolytic transfusion reaction, unspecified incompatibility, unspecified as acute or delayed, sequela",T809
"Unspecified transfusion reaction, initial encounter",T809
"Unspecified transfusion reaction, subsequent encounter",T809
"Unspecified transfusion reaction, sequela",T809
"Non-ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, initial encounter",T80A
"Non-ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, subsequent encounter",T80A
"Non-ABO incompatibility reaction due to transfusion of blood or blood products, unspecified, sequela",T80A
"Non-ABO incompatibility with acute hemolytic transfusion reaction, initial encounter",T80A
"Non-ABO incompatibility with acute hemolytic transfusion reaction, subsequent encounter",T80A
"Non-ABO incompatibility with acute hemolytic transfusion reaction, sequela",T80A
"Non-ABO incompatibility with delayed hemolytic transfusion reaction, initial encounter",T80A
"Non-ABO incompatibility with delayed hemolytic transfusion reaction, subsequent encounter",T80A
"Non-ABO incompatibility with delayed hemolytic transfusion reaction, sequela",T80A
"Non-ABO incompatibility with hemolytic transfusion reaction, unspecified, initial encounter",T80A
"Non-ABO incompatibility with hemolytic transfusion reaction, unspecified, subsequent encounter",T80A
"Non-ABO incompatibility with hemolytic transfusion reaction, unspecified, sequela",T80A
"Other non-ABO incompatibility reaction due to transfusion of blood or blood products, initial encounter",T80A
"Other non-ABO incompatibility reaction due to transfusion of blood or blood products, subsequent encounter",T80A
"Other non-ABO incompatibility reaction due to transfusion of blood or blood products, sequela",T80A
"Postprocedural shock unspecified, initial encounter",T811
"Postprocedural shock unspecified, subsequent encounter",T811
"Postprocedural shock unspecified, sequela",T811
"cardiogenic shock, initial encounter",T811
"cardiogenic shock, subsequent encounter",T811
"cardiogenic shock, sequela",T811
"Postprocedural septic shock, initial encounter",T811
"Postprocedural septic shock, subsequent encounter",T811
"Postprocedural septic shock, sequela",T811
"Other postprocedural shock, initial encounter",T811
"Other postprocedural shock, subsequent encounter",T811
"Other postprocedural shock, sequela",T811
"Disruption of wound, unspecified, initial encounter",T813
"Disruption of wound, unspecified, subsequent encounter",T813
"Disruption of wound, unspecified, sequela",T813
"Disruption of external operation (surgical) wound, not elsewhere classified, initial encounter",T813
"Disruption of external operation (surgical) wound, not elsewhere classified, subsequent encounter",T813
"Disruption of external operation (surgical) wound, not elsewhere classified, sequela",T813
"Disruption of internal operation (surgical) wound, not elsewhere classified, initial encounter",T813
"Disruption of internal operation (surgical) wound, not elsewhere classified, subsequent encounter",T813
"Disruption of internal operation (surgical) wound, not elsewhere classified, sequela",T813
"Disruption of traumatic injury wound repair, initial encounter",T813
