"Cholera due to Vibrio cholerae 01, biovar cholerae",A000
Other musculoskeletal tuberculosis,A180
"Tuberculosis of genitourinary system, unspecified",A181
Tuberculosis of kidney and ureter,A181
Tuberculosis of bladder,A181
Tuberculosis of other urinary organs,A181
Tuberculosis of prostate,A181
Tuberculosis of other male genital organs,A181
Tuberculosis of cervix,A181
Tuberculous female pelvic inflammatory disease,A181
Tuberculosis of other female genital organs,A181
Tuberculous peripheral lymphadenopathy,A182
Tuberculous peritonitis,A183
Tuberculous enteritis,A183
Retroperitoneal tuberculosis,A183
Tuberculosis of skin and subcutaneous tissue,A184
"Tuberculosis of eye, unspecified",A185
Tuberculous episcleritis,A185
Tuberculous keratitis,A185
Tuberculous chorioretinitis,A185
Tuberculous iridocyclitis,A185
Other tuberculosis of eye,A185
Tuberculosis of (inner) (middle) ear,A186
Tuberculosis of adrenal glands,A187
Tuberculosis of thyroid gland,A188
Tuberculosis of other endocrine glands,A188
"Tuberculosis of digestive tract organs, not elsewhere classified",A188
Tuberculosis of heart,A188
Tuberculosis of spleen,A188
Tuberculosis of other sites,A188
Acute miliary tuberculosis of a single specified site,A190
Acute miliary tuberculosis of multiple sites,A191
"Acute miliary tuberculosis, unspecified",A192
Other miliary tuberculosis,A198
"Miliary tuberculosis, unspecified",A199
Bubonic plague,A200
Cellulocutaneous plague,A201
Pneumonic plague,A202
Plague meningitis,A203
Septicemic plague,A207
Other forms of plague,A208
"Plague, unspecified",A209
Ulceroglandular tularemia,A210
Oculoglandular tularemia,A211
Pulmonary tularemia,A212
Gastrointestinal tularemia,A213
Generalized tularemia,A217
Other forms of tularemia,A218
"Tularemia, unspecified",A219
Cutaneous anthrax,A220
Pulmonary anthrax,A221
Gastrointestinal anthrax,A222
Anthrax sepsis,A227
Other forms of anthrax,A228
"Anthrax, unspecified",A229
Brucellosis due to Brucella melitensis,A230
Brucellosis due to Brucella abortus,A231
Brucellosis due to Brucella suis,A232
Brucellosis due to Brucella canis,A233
Other brucellosis,A238
"Brucellosis, unspecified",A239
Glanders,A240
Acute and fulminating melioidosis,A241
Subacute and chronic melioidosis,A242
Other melioidosis,A243
"Melioidosis, unspecified",A249
Spirillosis,A250
Streptobacillosis,A251
"Rat-bite fever, unspecified",A259
Cutaneous erysipeloid,A260
Erysipelothrix sepsis,A267
Other forms of erysipeloid,A268
"Erysipeloid, unspecified",A269
Leptospirosis icterohemorrhagica,A270
Aseptic meningitis in leptospirosis,A278
Other forms of leptospirosis,A278
"Leptospirosis, unspecified",A279
Pasteurellosis,A280
Cat-scratch disease,A281
Extraintestinal yersiniosis,A282
"Other specified zoonotic bacterial diseases, not elsewhere classified",A288
"Zoonotic bacterial disease, unspecified",A289
Indeterminate leprosy,A300
Tuberculoid leprosy,A301
Borderline tuberculoid leprosy,A302
Borderline leprosy,A303
Borderline lepromatous leprosy,A304
Lepromatous leprosy,A305
Other forms of leprosy,A308
"Leprosy, unspecified",A309
Pulmonary mycobacterial infection,A310
Cutaneous mycobacterial infection,A311
Disseminated mycobacterium avium-intracellulare complex (DMAC),A312
Other mycobacterial infections,A318
"Mycobacterial infection, unspecified",A319
Cutaneous listeriosis,A320
Listerial meningitis,A321
Listerial meningoencephalitis,A321
Listerial sepsis,A327
Oculoglandular listeriosis,A328
Listerial endocarditis,A328
Other forms of listeriosis,A328
"Listeriosis, unspecified",A329
Tetanus neonatorum,A33
Obstetrical tetanus,A34
Other tetanus,A35
Pharyngeal diphtheria,A360
Nasopharyngeal diphtheria,A361
Laryngeal diphtheria,A362
Cutaneous diphtheria,A363
Diphtheritic cardiomyopathy,A368
Diphtheritic radiculomyelitis,A368
Diphtheritic polyneuritis,A368
Diphtheritic tubulo-interstitial nephropathy,A368
Diphtheritic cystitis,A368
Diphtheritic conjunctivitis,A368
Other diphtheritic complications,A368
"Diphtheria, unspecified",A369
Whooping cough due to Bordetella pertussis without pneumonia,A370
Whooping cough due to Bordetella pertussis with pneumonia,A370
Whooping cough due to Bordetella parapertussis without pneumonia,A371
Whooping cough due to Bordetella parapertussis with pneumonia,A371
Whooping cough due to other Bordetella species without pneumonia,A378
Whooping cough due to other Bordetella species with pneumonia,A378
"Whooping cough, unspecified species without pneumonia",A379
"Whooping cough, unspecified species with pneumonia",A379
Scarlet fever with otitis media,A380
Scarlet fever with myocarditis,A381
Scarlet fever with other complications,A388
"Scarlet fever, uncomplicated",A389
Meningococcal meningitis,A390
Waterhouse-Friderichsen syndrome,A391
Acute meningococcemia,A392
Chronic meningococcemia,A393
"Meningococcemia, unspecified",A394
"Meningococcal carditis, unspecified",A395
Meningococcal endocarditis,A395
Meningococcal myocarditis,A395
Meningococcal pericarditis,A395
Meningococcal encephalitis,A398
Meningococcal retrobulbar neuritis,A398
Meningococcal arthritis,A398
Postmeningococcal arthritis,A398
Other meningococcal infections,A398
"Meningococcal infection, unspecified",A399
"Sepsis due to streptococcus, group A",A400
"Sepsis due to streptococcus, group B",A401
Sepsis due to Streptococcus pneumoniae,A403
Other streptococcal sepsis,A408
"Streptococcal sepsis, unspecified",A409
Sepsis due to Methicillin susceptible Staphylococcus aureus,A410
Sepsis due to Methicillin resistant Staphylococcus aureus,A410
Sepsis due to other specified staphylococcus,A411
Sepsis due to unspecified staphylococcus,A412
Sepsis due to Hemophilus influenzae,A413
Sepsis due to anaerobes,A414
"Gram-negative sepsis, unspecified",A415
Sepsis due to Escherichia coli [E. coli],A415
Sepsis due to Pseudomonas,A415
Sepsis due to Serratia,A415
Other Gram-negative sepsis,A415
Sepsis due to Enterococcus,A418
Other specified sepsis,A418
"Sepsis, unspecified organism",A419
Pulmonary actinomycosis,A420
Abdominal actinomycosis,A421
Cervicofacial actinomycosis,A422
Actinomycotic sepsis,A427
Actinomycotic meningitis,A428
Actinomycotic encephalitis,A428
Other forms of actinomycosis,A428
"Actinomycosis, unspecified",A429
Pulmonary nocardiosis,A430
Cutaneous nocardiosis,A431
Other forms of nocardiosis,A438
"Nocardiosis, unspecified",A439
Systemic bartonellosis,A440
Cutaneous and mucocutaneous bartonellosis,A441
Other forms of bartonellosis,A448
"Bartonellosis, unspecified",A449
Erysipelas,A46
Gas gangrene,A480
Legionnaires' disease,A481
Nonpneumonic Legionnaires' disease [Pontiac fever],A482
Toxic shock syndrome,A483
Brazilian purpuric fever,A484
Infant botulism,A485
Wound botulism,A485
Other specified bacterial diseases,A488
"Methicillin susceptible Staphylococcus aureus infection, unspecified site",A490
"Methicillin resistant Staphylococcus aureus infection, unspecified site",A490
"Streptococcal infection, unspecified site",A491
"Hemophilus influenzae infection, unspecified site",A492
"Mycoplasma infection, unspecified site",A493
Other bacterial infections of unspecified site,A498
"Bacterial infection, unspecified",A499
Early congenital syphilitic oculopathy,A500
Early congenital syphilitic osteochondropathy,A500
Early congenital syphilitic pharyngitis,A500
Early congenital syphilitic pneumonia,A500
Early congenital syphilitic rhinitis,A500
Early cutaneous congenital syphilis,A500
Early mucocutaneous congenital syphilis,A500
Early visceral congenital syphilis,A500
"Other early congenital syphilis, symptomatic",A500
"Early congenital syphilis, latent",A501
"Early congenital syphilis, unspecified",A502
"Late congenital syphilitic oculopathy, unspecified",A503
Late congenital syphilitic interstitial keratitis,A503
Late congenital syphilitic chorioretinitis,A503
Other late congenital syphilitic oculopathy,A503
"Late congenital neurosyphilis, unspecified",A504
Late congenital syphilitic meningitis,A504
Late congenital syphilitic encephalitis,A504
Late congenital syphilitic polyneuropathy,A504
Late congenital syphilitic optic nerve atrophy,A504
Juvenile general paresis,A504
Other late congenital neurosyphilis,A504
Clutton's joints,A505
Hutchinson's teeth,A505
Hutchinson's triad,A505
Late congenital cardiovascular syphilis,A505
Late congenital syphilitic arthropathy,A505
Late congenital syphilitic osteochondropathy,A505
Syphilitic saddle nose,A505
"Other late congenital syphilis, symptomatic",A505
"Late congenital syphilis, latent",A506
"Late congenital syphilis, unspecified",A507
"Congenital syphilis, unspecified",A509
Primary genital syphilis,A510
Primary anal syphilis,A511
Primary syphilis of other sites,A512
Condyloma latum,A513
Syphilitic alopecia,A513
Other secondary syphilis of skin,A513
Secondary syphilitic meningitis,A514
Secondary syphilitic female pelvic disease,A514
Secondary syphilitic oculopathy,A514
Secondary syphilitic nephritis,A514
Secondary syphilitic hepatitis,A514
Secondary syphilitic osteopathy,A514
Other secondary syphilitic conditions,A514
"Early syphilis, latent",A515
"Early syphilis, unspecified",A519
"Cardiovascular syphilis, unspecified",A520
Syphilitic aneurysm of aorta,A520
Syphilitic aortitis,A520
Syphilitic endocarditis,A520
Syphilitic cerebral arteritis,A520
Other cerebrovascular syphilis,A520
Other syphilitic heart involvement,A520
Other cardiovascular syphilis,A520
"Symptomatic neurosyphilis, unspecified",A521
Tabes dorsalis,A521
Other cerebrospinal syphilis,A521
Late syphilitic meningitis,A521
Late syphilitic encephalitis,A521
Late syphilitic neuropathy,A521
Charcot's arthropathy (tabetic),A521
General paresis,A521
Other symptomatic neurosyphilis,A521
Asymptomatic neurosyphilis,A522
"Neurosyphilis, unspecified",A523
Late syphilitic oculopathy,A527
Syphilis of lung and bronchus,A527
Symptomatic late syphilis of other respiratory organs,A527
Syphilis of liver and other viscera,A527
Syphilis of kidney and ureter,A527
Other genitourinary symptomatic late syphilis,A527
Syphilis of bone and joint,A527
Syphilis of other musculoskeletal tissue,A527
Other symptomatic late syphilis,A527
"Late syphilis, latent",A528
"Late syphilis, unspecified",A529
"Latent syphilis, unspecified as early or late",A530
"Syphilis, unspecified",A539
"Gonococcal infection of lower genitourinary tract, unspecified",A540
"Gonococcal cystitis and urethritis, unspecified",A540
"Gonococcal vulvovaginitis, unspecified",A540
"Gonococcal cervicitis, unspecified",A540
Other gonococcal infection of lower genitourinary tract,A540
Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,A541
Gonococcal infection of kidney and ureter,A542
Gonococcal prostatitis,A542
Gonococcal infection of other male genital organs,A542
Gonococcal female pelvic inflammatory disease,A542
Other gonococcal genitourinary infections,A542
"Gonococcal infection of eye, unspecified",A543
Gonococcal conjunctivitis,A543
Gonococcal iridocyclitis,A543
Gonococcal keratitis,A543
Other gonococcal eye infection,A543
"Gonococcal infection of musculoskeletal system, unspecified",A544
Gonococcal spondylopathy,A544
Gonococcal arthritis,A544
Gonococcal osteomyelitis,A544
Gonococcal infection of other musculoskeletal tissue,A544
Gonococcal pharyngitis,A545
Gonococcal infection of anus and rectum,A546
Gonococcal meningitis,A548
Gonococcal brain abscess,A548
Gonococcal heart infection,A548
Gonococcal pneumonia,A548
Gonococcal peritonitis,A548
Gonococcal sepsis,A548
Other gonococcal infections,A548
"Gonococcal infection, unspecified",A549
Chlamydial lymphogranuloma (venereum),A55
"Chlamydial infection of lower genitourinary tract, unspecified",A560
Chlamydial cystitis and urethritis,A560
Chlamydial vulvovaginitis,A560
Other chlamydial infection of lower genitourinary tract,A560
Chlamydial female pelvic inflammatory disease,A561
Other chlamydial genitourinary infection,A561
"Chlamydial infection of genitourinary tract, unspecified",A562
Chlamydial infection of anus and rectum,A563
Chlamydial infection of pharynx,A564
Sexually transmitted chlamydial infection of other sites,A568
Chancroid,A57
Granuloma inguinale,A58
"Urogenital trichomoniasis, unspecified",A590
Trichomonal vulvovaginitis,A590
Trichomonal prostatitis,A590
Trichomonal cystitis and urethritis,A590
Other urogenital trichomoniasis,A590
Trichomoniasis of other sites,A598
"Trichomoniasis, unspecified",A599
"Herpesviral infection of urogenital system, unspecified",A600
Herpesviral infection of penis,A600
Herpesviral infection of other male genital organs,A600
Herpesviral cervicitis,A600
Herpesviral vulvovaginitis,A600
Herpesviral infection of other urogenital tract,A600
Herpesviral infection of perianal skin and rectum,A601
"Anogenital herpesviral infection, unspecified",A609
Anogenital (venereal) warts,A630
Other specified predominantly sexually transmitted diseases,A638
Unspecified sexually transmitted disease,A64
Nonvenereal syphilis,A65
Initial lesions of yaws,A660
Multiple papillomata and wet crab yaws,A661
Other early skin lesions of yaws,A662
Hyperkeratosis of yaws,A663
Gummata and ulcers of yaws,A664
Gangosa,A665
Bone and joint lesions of yaws,A666
Other manifestations of yaws,A667
Latent yaws,A668
"Yaws, unspecified",A669
Primary lesions of pinta,A670
Intermediate lesions of pinta,A671
Late lesions of pinta,A672
Mixed lesions of pinta,A673
"Pinta, unspecified",A679
Louse-borne relapsing fever,A680
Tick-borne relapsing fever,A681
"Relapsing fever, unspecified",A689
Necrotizing ulcerative stomatitis,A690
Other Vincent's infections,A691
"Lyme disease, unspecified",A692
Meningitis due to Lyme disease,A692
Other neurologic disorders in Lyme disease,A692
Arthritis due to Lyme disease,A692
Other conditions associated with Lyme disease,A692
Other specified spirochetal infections,A698
"Spirochetal infection, unspecified",A699
Chlamydia psittaci infections,A70
Initial stage of trachoma,A710
Active stage of trachoma,A711
"Trachoma, unspecified",A719
Chlamydial conjunctivitis,A740
Chlamydial peritonitis,A748
Other chlamydial diseases,A748
"Chlamydial infection, unspecified",A749
Epidemic louse-borne typhus fever due to Rickettsia prowazekii,A750
Recrudescent typhus [Brill's disease],A751
Typhus fever due to Rickettsia typhi,A752
Typhus fever due to Rickettsia tsutsugamushi,A753
"Typhus fever, unspecified",A759
Spotted fever due to Rickettsia rickettsii,A770
Spotted fever due to Rickettsia conorii,A771
Spotted fever due to Rickettsia siberica,A772
Spotted fever due to Rickettsia australis,A773
"Ehrlichiosis, unspecified",A774
Ehrlichiosis chafeensis [E. chafeensis],A774
Other ehrlichiosis,A774
Other spotted fevers,A778
"Spotted fever, unspecified",A779
Q fever,A78
Trench fever,A790
Rickettsialpox due to Rickettsia akari,A791
Rickettsiosis due to Ehrlichia sennetsu,A798
Other specified rickettsioses,A798
"Rickettsiosis, unspecified",A799
"Acute paralytic poliomyelitis, vaccine-associated",A800
"Acute paralytic poliomyelitis, wild virus, imported",A801
"Acute paralytic poliomyelitis, wild virus, indigenous",A802
"Acute paralytic poliomyelitis, unspecified",A803
Other acute paralytic poliomyelitis,A803
Acute nonparalytic poliomyelitis,A804
"Acute poliomyelitis, unspecified",A809
"Creutzfeldt-Jakob disease, unspecified",A810
Variant Creutzfeldt-Jakob disease,A810
Other Creutzfeldt-Jakob disease,A810
Subacute sclerosing panencephalitis,A811
Progressive multifocal leukoencephalopathy,A812
Kuru,A818
Gerstmann-Straussler-Scheinker syndrome,A818
Fatal familial insomnia,A818
Other atypical virus infections of central nervous system,A818
"Atypical virus infection of central nervous system, unspecified",A819
Sylvatic rabies,A820
Urban rabies,A821
"Rabies, unspecified",A829
Japanese encephalitis,A830
Western equine encephalitis,A831
Eastern equine encephalitis,A832
St Louis encephalitis,A833
Australian encephalitis,A834
California encephalitis,A835
Rocio virus disease,A836
Other mosquito-borne viral encephalitis,A838
"Mosquito-borne viral encephalitis, unspecified",A839
Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],A840
Central European tick-borne encephalitis,A841
Other tick-borne viral encephalitis,A848
"Tick-borne viral encephalitis, unspecified",A849
Enteroviral encephalitis,A850
Adenoviral encephalitis,A851
"Arthropod-borne viral encephalitis, unspecified",A852
Other specified viral encephalitis,A858
Unspecified viral encephalitis,A86
Enteroviral meningitis,A870
Adenoviral meningitis,A871
Lymphocytic choriomeningitis,A872
Other viral meningitis,A878
"Viral meningitis, unspecified",A879
Enteroviral exanthematous fever [Boston exanthem],A880
Epidemic vertigo,A881
Other specified viral infections of central nervous system,A888
Unspecified viral infection of central nervous system,A89
Dengue fever [classical dengue],A90
Dengue hemorrhagic fever,A91
Chikungunya virus disease,A920
O'nyong-nyong fever,A921
Venezuelan equine fever,A922
"West Nile virus infection, unspecified",A923
West Nile virus infection with encephalitis,A923
West Nile virus infection with other neurologic manifestation,A923
West Nile virus infection with other complications,A923
Rift Valley fever,A924
Other specified mosquito-borne viral fevers,A928
"Mosquito-borne viral fever, unspecified",A929
Oropouche virus disease,A930
Sandfly fever,A931
Colorado tick fever,A932
Other specified arthropod-borne viral fevers,A938
Unspecified arthropod-borne viral fever,A94
Sylvatic yellow fever,A950
Urban yellow fever,A951
"Yellow fever, unspecified",A959
Junin hemorrhagic fever,A960
Machupo hemorrhagic fever,A961
Lassa fever,A962
Other arenaviral hemorrhagic fevers,A968
"Arenaviral hemorrhagic fever, unspecified",A969
Crimean-Congo hemorrhagic fever,A980
Omsk hemorrhagic fever,A981
Kyasanur Forest disease,A982
Marburg virus disease,A983
Ebola virus disease,A984
Hemorrhagic fever with renal syndrome,A985
Other specified viral hemorrhagic fevers,A988
Unspecified viral hemorrhagic fever,A99
Eczema herpeticum,B000
Herpesviral vesicular dermatitis,B001
Herpesviral gingivostomatitis and pharyngotonsillitis,B002
Herpesviral meningitis,B003
Herpesviral encephalitis,B004
"Herpesviral ocular disease, unspecified",B005
Herpesviral iridocyclitis,B005
Herpesviral keratitis,B005
Herpesviral conjunctivitis,B005
Other herpesviral disease of eye,B005
Disseminated herpesviral disease,B007
Herpesviral hepatitis,B008
Herpes simplex myelitis,B008
Other herpesviral infection,B008
"Herpesviral infection, unspecified",B009
Varicella meningitis,B010
Varicella encephalitis and encephalomyelitis,B011
Varicella myelitis,B011
Varicella pneumonia,B012
Varicella keratitis,B018
Other varicella complications,B018
Varicella without complication,B019
Zoster encephalitis,B020
Zoster meningitis,B021
Postherpetic geniculate ganglionitis,B022
Postherpetic trigeminal neuralgia,B022
Postherpetic polyneuropathy,B022
Postherpetic myelitis,B022
Other postherpetic nervous system involvement,B022
"Zoster ocular disease, unspecified",B023
Zoster conjunctivitis,B023
Zoster iridocyclitis,B023
Zoster keratitis,B023
Zoster scleritis,B023
Other herpes zoster eye disease,B023
Disseminated zoster,B027
Zoster with other complications,B028
Zoster without complications,B029
Smallpox,B03
Monkeypox,B04
Measles complicated by encephalitis,B050
Measles complicated by meningitis,B051
Measles complicated by pneumonia,B052
Measles complicated by otitis media,B053
Measles with intestinal complications,B054
Measles keratitis and keratoconjunctivitis,B058
Other measles complications,B058
Measles without complication,B059
"Rubella with neurological complication, unspecified",B060
Rubella encephalitis,B060
Rubella meningitis,B060
Other neurological complications of rubella,B060
Rubella pneumonia,B068
Rubella arthritis,B068
Other rubella complications,B068
Rubella without complication,B069
Plantar wart,B070
Other viral warts,B078
"Viral wart, unspecified",B079
Cowpox,B080
Vaccinia not from vaccine,B080
Orf virus disease,B080
Pseudocowpox [milker's node],B080
"Paravaccinia, unspecified",B080
Other orthopoxvirus infections,B080
Molluscum contagiosum,B081
"Exanthema subitum [sixth disease], unspecified",B082
Exanthema subitum [sixth disease] due to human herpesvirus 6,B082
Exanthema subitum [sixth disease] due to human herpesvirus 7,B082
Erythema infectiosum [fifth disease],B083
Enteroviral vesicular stomatitis with exanthem,B084
Enteroviral vesicular pharyngitis,B085
"Parapoxvirus infection, unspecified",B086
Bovine stomatitis,B086
Sealpox,B086
Other parapoxvirus infections,B086
"Yatapoxvirus infection, unspecified",B087
Tanapox virus disease,B087
Yaba pox virus disease,B087
Other yatapoxvirus infections,B087
Other specified viral infections characterized by skin and mucous membrane lesions,B088
Unspecified viral infection characterized by skin and mucous membrane lesions,B09
Human herpesvirus 6 encephalitis,B100
Other human herpesvirus encephalitis,B100
Human herpesvirus 6 infection,B108
Human herpesvirus 7 infection,B108
Other human herpesvirus infection,B108
Hepatitis A with hepatic coma,B150
Hepatitis A without hepatic coma,B159
Acute hepatitis B with delta-agent with hepatic coma,B160
Acute hepatitis B with delta-agent without hepatic coma,B161
Acute hepatitis B without delta-agent with hepatic coma,B162
Acute hepatitis B without delta-agent and without hepatic coma,B169
Acute delta-(super) infection of hepatitis B carrier,B170
Acute hepatitis C without hepatic coma,B171
Acute hepatitis C with hepatic coma,B171
Acute hepatitis E,B172
Other specified acute viral hepatitis,B178
"Acute viral hepatitis, unspecified",B179
Chronic viral hepatitis B with delta-agent,B180
Chronic viral hepatitis B without delta-agent,B181
Chronic viral hepatitis C,B182
Other chronic viral hepatitis,B188
"Chronic viral hepatitis, unspecified",B189
Unspecified viral hepatitis with hepatic coma,B190
Unspecified viral hepatitis B without hepatic coma,B191
Unspecified viral hepatitis B with hepatic coma,B191
Unspecified viral hepatitis C without hepatic coma,B192
Unspecified viral hepatitis C with hepatic coma,B192
Unspecified viral hepatitis without hepatic coma,B199
Human immunodeficiency virus [HIV] disease,B20
Cytomegaloviral pneumonitis,B250
Cytomegaloviral hepatitis,B251
Cytomegaloviral pancreatitis,B252
Other cytomegaloviral diseases,B258
"Cytomegaloviral disease, unspecified",B259
Mumps orchitis,B260
Mumps meningitis,B261
Mumps encephalitis,B262
Mumps pancreatitis,B263
Mumps hepatitis,B268
Mumps myocarditis,B268
Mumps nephritis,B268
Mumps polyneuropathy,B268
Mumps arthritis,B268
Other mumps complications,B268
Mumps without complication,B269
Gammaherpesviral mononucleosis without complication,B270
Gammaherpesviral mononucleosis with polyneuropathy,B270
Gammaherpesviral mononucleosis with meningitis,B270
Gammaherpesviral mononucleosis with other complications,B270
Cytomegaloviral mononucleosis without complications,B271
Cytomegaloviral mononucleosis with polyneuropathy,B271
Cytomegaloviral mononucleosis with meningitis,B271
Cytomegaloviral mononucleosis with other complication,B271
Other infectious mononucleosis without complication,B278
Other infectious mononucleosis with polyneuropathy,B278
Other infectious mononucleosis with meningitis,B278
Other infectious mononucleosis with other complication,B278
"Infectious mononucleosis, unspecified without complication",B279
"Infectious mononucleosis, unspecified with polyneuropathy",B279
"Infectious mononucleosis, unspecified with meningitis",B279
"Infectious mononucleosis, unspecified with other complication",B279
Keratoconjunctivitis due to adenovirus,B300
Conjunctivitis due to adenovirus,B301
Viral pharyngoconjunctivitis,B302
Acute epidemic hemorrhagic conjunctivitis (enteroviral),B303
Other viral conjunctivitis,B308
"Viral conjunctivitis, unspecified",B309
Epidemic myalgia,B330
Ross River disease,B331
"Viral carditis, unspecified",B332
Viral endocarditis,B332
Viral myocarditis,B332
Viral pericarditis,B332
Viral cardiomyopathy,B332
"Retrovirus infections, not elsewhere classified",B333
Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS],B334
Other specified viral diseases,B338
"Adenovirus infection, unspecified",B340
"Enterovirus infection, unspecified",B341
"Coronavirus infection, unspecified",B342
"Parvovirus infection, unspecified",B343
"Papovavirus infection, unspecified",B344
Other viral infections of unspecified site,B348
"Viral infection, unspecified",B349
Tinea barbae and tinea capitis,B350
Tinea unguium,B351
Tinea manuum,B352
Tinea pedis,B353
Tinea corporis,B354
Tinea imbricata,B355
Tinea cruris,B356
Other dermatophytoses,B358
"Dermatophytosis, unspecified",B359
Pityriasis versicolor,B360
Tinea nigra,B361
White piedra,B362
Black piedra,B363
Other specified superficial mycoses,B368
"Superficial mycosis, unspecified",B369
Candidal stomatitis,B370
Pulmonary candidiasis,B371
Candidiasis of skin and nail,B372
Candidiasis of vulva and vagina,B373
Candidal cystitis and urethritis,B374
Candidal balanitis,B374
Other urogenital candidiasis,B374
Candidal meningitis,B375
Candidal endocarditis,B376
Candidal sepsis,B377
Candidal esophagitis,B378
Candidal enteritis,B378
Candidal cheilitis,B378
Candidal otitis externa,B378
Other sites of candidiasis,B378
"Candidiasis, unspecified",B379
Acute pulmonary coccidioidomycosis,B380
Chronic pulmonary coccidioidomycosis,B381
"Pulmonary coccidioidomycosis, unspecified",B382
Cutaneous coccidioidomycosis,B383
Coccidioidomycosis meningitis,B384
Disseminated coccidioidomycosis,B387
Prostatic coccidioidomycosis,B388
Other forms of coccidioidomycosis,B388
"Coccidioidomycosis, unspecified",B389
Acute pulmonary histoplasmosis capsulati,B390
Chronic pulmonary histoplasmosis capsulati,B391
"Pulmonary histoplasmosis capsulati, unspecified",B392
Disseminated histoplasmosis capsulati,B393
"Histoplasmosis capsulati, unspecified",B394
Histoplasmosis duboisii,B395
"Histoplasmosis, unspecified",B399
Acute pulmonary blastomycosis,B400
Chronic pulmonary blastomycosis,B401
"Pulmonary blastomycosis, unspecified",B402
Cutaneous blastomycosis,B403
Disseminated blastomycosis,B407
Blastomycotic meningoencephalitis,B408
Other forms of blastomycosis,B408
"Blastomycosis, unspecified",B409
Pulmonary paracoccidioidomycosis,B410
Disseminated paracoccidioidomycosis,B417
Other forms of paracoccidioidomycosis,B418
"Paracoccidioidomycosis, unspecified",B419
Pulmonary sporotrichosis,B420
Lymphocutaneous sporotrichosis,B421
Disseminated sporotrichosis,B427
Cerebral sporotrichosis,B428
Sporotrichosis arthritis,B428
Other forms of sporotrichosis,B428
"Sporotrichosis, unspecified",B429
Cutaneous chromomycosis,B430
Pheomycotic brain abscess,B431
Subcutaneous pheomycotic abscess and cyst,B432
