Unspecified maternal infectious and parasitic disease complicating the puerperium,O989
Bariatric surgery status complicating the puerperium,O998
"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",O998
"Malignant neoplasm complicating pregnancy, first trimester",O9A1
"Malignant neoplasm complicating pregnancy, second trimester",O9A1
"Malignant neoplasm complicating pregnancy, third trimester",O9A1
"Malignant neoplasm complicating pregnancy, unspecified trimester",O9A1
Malignant neoplasm complicating childbirth,O9A1
Malignant neoplasm complicating the puerperium,O9A1
"Injury, poisoning and certain other consequences of external causes complicating pregnancy, first trimester",O9A2
"Injury, poisoning and certain other consequences of external causes complicating pregnancy, second trimester",O9A2
"Injury, poisoning and certain other consequences of external causes complicating pregnancy, third trimester",O9A2
"Injury, poisoning and certain other consequences of external causes complicating pregnancy, unspecified trimester",O9A2
"Injury, poisoning and certain other consequences of external causes complicating childbirth",O9A2
"Injury, poisoning and certain other consequences of external causes complicating the puerperium",O9A2
"Physical abuse complicating pregnancy, first trimester",O9A3
"Physical abuse complicating pregnancy, second trimester",O9A3
"Physical abuse complicating pregnancy, third trimester",O9A3
"Physical abuse complicating pregnancy, unspecified trimester",O9A3
Physical abuse complicating childbirth,O9A3
Physical abuse complicating the puerperium,O9A3
"Sexual abuse complicating pregnancy, first trimester",O9A4
"Sexual abuse complicating pregnancy, second trimester",O9A4
"Sexual abuse complicating pregnancy, third trimester",O9A4
"Sexual abuse complicating pregnancy, unspecified trimester",O9A4
Sexual abuse complicating childbirth,O9A4
Sexual abuse complicating the puerperium,O9A4
"Psychological abuse complicating pregnancy, first trimester",O9A5
"Psychological abuse complicating pregnancy, second trimester",O9A5
"Psychological abuse complicating pregnancy, third trimester",O9A5
"Psychological abuse complicating pregnancy, unspecified trimester",O9A5
Psychological abuse complicating childbirth,O9A5
Psychological abuse complicating the puerperium,O9A5
Newborn (suspected to be) affected by maternal hypertensive disorders,P000
Newborn (suspected to be) affected by maternal renal and urinary tract diseases,P001
Newborn (suspected to be) affected by maternal infectious and parasitic diseases,P002
Newborn (suspected to be) affected by other maternal circulatory and respiratory diseases,P003
Newborn (suspected to be) affected by maternal nutritional disorders,P004
Newborn (suspected to be) affected by maternal injury,P005
Newborn (suspected to be) affected by surgical procedure on mother,P006
"Newborn (suspected to be) affected by other medical procedures on mother, not elsewhere classified",P007
Newborn (suspected to be) affected by periodontal disease in mother,P008
Newborn (suspected to be) affected by other maternal conditions,P008
Newborn (suspected to be) affected by unspecified maternal condition,P009
Newborn (suspected to be) affected by incompetent cervix,P010
Newborn (suspected to be) affected by premature rupture of membranes,P011
Newborn (suspected to be) affected by oligohydramnios,P012
Newborn (suspected to be) affected by polyhydramnios,P013
Newborn (suspected to be) affected by ectopic pregnancy,P014
Newborn (suspected to be) affected by multiple pregnancy,P015
Newborn (suspected to be) affected by maternal death,P016
Newborn (suspected to be) affected by malpresentation before labor,P017
Newborn (suspected to be) affected by other maternal complications of pregnancy,P018
"Newborn (suspected to be) affected by maternal complication of pregnancy, unspecified",P019
Newborn (suspected to be) affected by placenta previa,P020
Newborn (suspected to be) affected by other forms of placental separation and hemorrhage,P021
Newborn (suspected to be) affected by unspecified morphological and functional abnormalities of placenta,P022
Newborn (suspected to be) affected by other morphological and functional abnormalities of placenta,P022
Newborn (suspected to be) affected by placental transfusion syndromes,P023
Newborn (suspected to be) affected by prolapsed cord,P024
Newborn (suspected to be) affected by other compression of umbilical cord,P025
Newborn (suspected to be) affected by unspecified conditions of umbilical cord,P026
Newborn (suspected to be) affected by other conditions of umbilical cord,P026
Newborn (suspected to be) affected by chorioamnionitis,P027
Newborn (suspected to be) affected by other abnormalities of membranes,P028
"Newborn (suspected to be) affected by abnormality of membranes, unspecified",P029
Newborn (suspected to be) affected by breech delivery and extraction,P030
"Newborn (suspected to be) affected by other malpresentation, malposition and disproportion during labor and delivery",P031
Newborn (suspected to be) affected by forceps delivery,P032
Newborn (suspected to be) affected by delivery by vacuum extractor [ventouse],P033
Newborn (suspected to be) affected by Cesarean delivery,P034
Newborn (suspected to be) affected by precipitate delivery,P035
Newborn (suspected to be) affected by abnormal uterine contractions,P036
Newborn (suspected to be) affected by abnormality in fetal (intrauterine) heart rate or rhythm before the onset of labor,P038
Newborn (suspected to be) affected by abnormality in fetal (intrauterine) heart rate or rhythm during labor,P038
"Newborn (suspected to be) affected by abnormality in fetal (intrauterine) heart rate or rhythm, unspecified as to time of onset",P038
Meconium passage during delivery,P038
Newborn (suspected to be) affected by other specified complications of labor and delivery,P038
"Newborn (suspected to be) affected by complication of labor and delivery, unspecified",P039
"Newborn (suspected to be) affected by maternal anesthesia and analgesia in pregnancy, labor and delivery",P040
Newborn (suspected to be) affected by other maternal medication,P041
Newborn (suspected to be) affected by maternal use of tobacco,P042
Newborn (suspected to be) affected by maternal use of alcohol,P043
Newborn (suspected to be) affected by maternal use of cocaine,P044
Newborn (suspected to be) affected by maternal use of other drugs of addiction,P044
Newborn (suspected to be) affected by maternal use of nutritional chemical substances,P045
Newborn (suspected to be) affected by maternal exposure to environmental chemical substances,P046
Newborn (suspected to be) affected by other maternal noxious substances,P048
"Newborn (suspected to be) affected by maternal noxious substance, unspecified",P049
"Newborn light for gestational age, unspecified weight",P050
"Newborn light for gestational age, less than 500 grams",P050
"Newborn light for gestational age, 500-749 grams",P050
"Newborn light for gestational age, 750-999 grams",P050
"Newborn light for gestational age, 1000-1249 grams",P050
"Newborn light for gestational age, 1250-1499 grams",P050
"Newborn light for gestational age, 1500-1749 grams",P050
"Newborn light for gestational age, 1750-1999 grams",P050
"Newborn light for gestational age, 2000-2499 grams",P050
"Newborn small for gestational age, unspecified weight",P051
"Newborn small for gestational age, less than 500 grams",P051
"Newborn small for gestational age, 500-749 grams",P051
"Newborn small for gestational age, 750-999 grams",P051
"Newborn small for gestational age, 1000-1249 grams",P051
"Newborn small for gestational age, 1250-1499 grams",P051
"Newborn small for gestational age, 1500-1749 grams",P051
"Newborn small for gestational age, 1750-1999 grams",P051
"Newborn small for gestational age, 2000-2499 grams",P051
Newborn affected by fetal (intrauterine) malnutrition not light or small for gestational age,P052
"Newborn affected by slow intrauterine growth, unspecified",P059
"Extremely low birth weight newborn, unspecified weight",P070
"Extremely low birth weight newborn, less than 500 grams",P070
"Extremely low birth weight newborn, 500-749 grams",P070
"Extremely low birth weight newborn, 750-999 grams",P070
"Other low birth weight newborn, unspecified weight",P071
"Other low birth weight newborn, 1000-1249 grams",P071
"Other low birth weight newborn, 1250-1499 grams",P071
"Other low birth weight newborn, 1500-1749 grams",P071
"Other low birth weight newborn, 1750-1999 grams",P071
"Other low birth weight newborn, 2000-2499 grams",P071
"Extreme immaturity of newborn, unspecified weeks of gestation",P072
"Extreme immaturity of newborn, gestational age less than 23 completed weeks",P072
"Extreme immaturity of newborn, gestational age 23 completed weeks",P072
"Extreme immaturity of newborn, gestational age 24 completed weeks",P072
"Extreme immaturity of newborn, gestational age 25 completed weeks",P072
"Extreme immaturity of newborn, gestational age 26 completed weeks",P072
"Extreme immaturity of newborn, gestational age 27 completed weeks",P072
"Preterm newborn, unspecified weeks of gestation",P073
"Preterm newborn, gestational age 28 completed weeks",P073
"Preterm newborn, gestational age 29 completed weeks",P073
"Preterm newborn, gestational age 30 completed weeks",P073
"Preterm newborn, gestational age 31 completed weeks",P073
"Preterm newborn, gestational age 32 completed weeks",P073
"Preterm newborn, gestational age 33 completed weeks",P073
"Preterm newborn, gestational age 34 completed weeks",P073
"Preterm newborn, gestational age 35 completed weeks",P073
"Preterm newborn, gestational age 36 completed weeks",P073
Exceptionally large newborn baby,P080
Other heavy for gestational age newborn,P081
Post-term newborn,P082
Prolonged gestation of newborn,P082
Abnormal findings on neonatal screening,P09
Subdural hemorrhage due to birth injury,P100
Cerebral hemorrhage due to birth injury,P101
Intraventricular hemorrhage due to birth injury,P102
Subarachnoid hemorrhage due to birth injury,P103
Tentorial tear due to birth injury,P104
Other intracranial lacerations and hemorrhages due to birth injury,P108
Unspecified intracranial laceration and hemorrhage due to birth injury,P109
Cerebral edema due to birth injury,P110
Other specified brain damage due to birth injury,P111
Unspecified brain damage due to birth injury,P112
Birth injury to facial nerve,P113
Birth injury to other cranial nerves,P114
Birth injury to spine and spinal cord,P115
"Birth injury to central nervous system, unspecified",P119
Cephalhematoma due to birth injury,P120
Chignon (from vacuum extraction) due to birth injury,P121
Epicranial subaponeurotic hemorrhage due to birth injury,P122
Bruising of scalp due to birth injury,P123
Injury of scalp of newborn due to monitoring equipment,P124
Caput succedaneum,P128
Other birth injuries to scalp,P128
"Birth injury to scalp, unspecified",P129
Fracture of skull due to birth injury,P130
Other birth injuries to skull,P131
Birth injury to femur,P132
Birth injury to other long bones,P133
Fracture of clavicle due to birth injury,P134
Birth injuries to other parts of skeleton,P138
"Birth injury to skeleton, unspecified",P139
Erb's paralysis due to birth injury,P140
Klumpke's paralysis due to birth injury,P141
Phrenic nerve paralysis due to birth injury,P142
Other brachial plexus birth injuries,P143
Birth injuries to other parts of peripheral nervous system,P148
"Birth injury to peripheral nervous system, unspecified",P149
Birth injury to liver,P150
Birth injury to spleen,P151
Sternomastoid injury due to birth injury,P152
Birth injury to eye,P153
Birth injury to face,P154
Birth injury to external genitalia,P155
Subcutaneous fat necrosis due to birth injury,P156
Other specified birth injuries,P158
"Birth injury, unspecified",P159
Metabolic acidemia in newborn first noted before onset of labor,P190
Metabolic acidemia in newborn first noted during labor,P191
Metabolic acidemia noted at birth,P192
"Metabolic acidemia, unspecified",P199
Respiratory distress syndrome of newborn,P220
Transient tachypnea of newborn,P221
Other respiratory distress of newborn,P228
"Respiratory distress of newborn, unspecified",P229
Congenital pneumonia due to viral agent,P230
Congenital pneumonia due to Chlamydia,P231
Congenital pneumonia due to staphylococcus,P232
"Congenital pneumonia due to streptococcus, group B",P233
Congenital pneumonia due to Escherichia coli,P234
Congenital pneumonia due to Pseudomonas,P235
Congenital pneumonia due to other bacterial agents,P236
Congenital pneumonia due to other organisms,P238
"Congenital pneumonia, unspecified",P239
Meconium aspiration without respiratory symptoms,P240
Meconium aspiration with respiratory symptoms,P240
Neonatal aspiration of (clear) amniotic fluid and mucus without respiratory symptoms,P241
Neonatal aspiration of (clear) amniotic fluid and mucus with respiratory symptoms,P241
Neonatal aspiration of blood without respiratory symptoms,P242
Neonatal aspiration of blood with respiratory symptoms,P242
Neonatal aspiration of milk and regurgitated food without respiratory symptoms,P243
Neonatal aspiration of milk and regurgitated food with respiratory symptoms,P243
Other neonatal aspiration without respiratory symptoms,P248
Other neonatal aspiration with respiratory symptoms,P248
"Neonatal aspiration, unspecified",P249
Interstitial emphysema originating in the perinatal period,P250
Pneumothorax originating in the perinatal period,P251
Pneumomediastinum originating in the perinatal period,P252
Pneumopericardium originating in the perinatal period,P253
Other conditions related to interstitial emphysema originating in the perinatal period,P258
Tracheobronchial hemorrhage originating in the perinatal period,P260
Massive pulmonary hemorrhage originating in the perinatal period,P261
Other pulmonary hemorrhages originating in the perinatal period,P268
Unspecified pulmonary hemorrhage originating in the perinatal period,P269
Wilson-Mikity syndrome,P270
Bronchopulmonary dysplasia originating in the perinatal period,P271
Other chronic respiratory diseases originating in the perinatal period,P278
Unspecified chronic respiratory disease originating in the perinatal period,P279
Primary atelectasis of newborn,P280
Unspecified atelectasis of newborn,P281
Resorption atelectasis without respiratory distress syndrome,P281
Other atelectasis of newborn,P281
Cyanotic attacks of newborn,P282
Primary sleep apnea of newborn,P283
Other apnea of newborn,P284
Respiratory failure of newborn,P285
Respiratory arrest of newborn,P288
Other specified respiratory conditions of newborn,P288
"Respiratory condition of newborn, unspecified",P289
Neonatal cardiac failure,P290
Neonatal tachycardia,P291
Neonatal bradycardia,P291
Neonatal hypertension,P292
Persistent fetal circulation,P293
Transient myocardial ischemia in newborn,P294
Cardiac arrest of newborn,P298
Other cardiovascular disorders originating in the perinatal period,P298
"Cardiovascular disorder originating in the perinatal period, unspecified",P299
Congenital rubella syndrome,P350
Congenital cytomegalovirus infection,P351
Congenital herpesviral [herpes simplex] infection,P352
Congenital viral hepatitis,P353
Other congenital viral diseases,P358
"Congenital viral disease, unspecified",P359
"Sepsis of newborn due to streptococcus, group B",P360
Sepsis of newborn due to unspecified streptococci,P361
Sepsis of newborn due to other streptococci,P361
Sepsis of newborn due to Staphylococcus aureus,P362
Sepsis of newborn due to unspecified staphylococci,P363
Sepsis of newborn due to other staphylococci,P363
Sepsis of newborn due to Escherichia coli,P364
Sepsis of newborn due to anaerobes,P365
Other bacterial sepsis of newborn,P368
"Bacterial sepsis of newborn, unspecified",P369
Congenital tuberculosis,P370
Congenital toxoplasmosis,P371
Neonatal (disseminated) listeriosis,P372
Congenital falciparum malaria,P373
Other congenital malaria,P374
Neonatal candidiasis,P375
Other specified congenital infectious and parasitic diseases,P378
"Congenital infectious or parasitic disease, unspecified",P379
Omphalitis with mild hemorrhage,P381
Omphalitis without hemorrhage,P389
Neonatal infective mastitis,P390
Neonatal conjunctivitis and dacryocystitis,P391
"Intra-amniotic infection affecting newborn, not elsewhere classified",P392
Neonatal urinary tract infection,P393
Neonatal skin infection,P394
Other specified infections specific to the perinatal period,P398
"Infection specific to the perinatal period, unspecified",P399
Newborn affected by intrauterine (fetal) blood loss from vasa previa,P500
Newborn affected by intrauterine (fetal) blood loss from ruptured cord,P501
Newborn affected by intrauterine (fetal) blood loss from placenta,P502
Newborn affected by hemorrhage into co-twin,P503
Newborn affected by hemorrhage into maternal circulation,P504
Newborn affected by intrauterine (fetal) blood loss from cut end of co-twin's cord,P505
Newborn affected by other intrauterine (fetal) blood loss,P508
"Newborn affected by intrauterine (fetal) blood loss, unspecified",P509
Massive umbilical hemorrhage of newborn,P510
Other umbilical hemorrhages of newborn,P518
"Umbilical hemorrhage of newborn, unspecified",P519
"Intraventricular (nontraumatic) hemorrhage, grade 1, of newborn",P520
"Intraventricular (nontraumatic) hemorrhage, grade 2, of newborn",P521
"Intraventricular (nontraumatic) hemorrhage, grade 3, of newborn",P522
"Intraventricular (nontraumatic) hemorrhage, grade 4, of newborn",P522
Unspecified intraventricular (nontraumatic) hemorrhage of newborn,P523
Intracerebral (nontraumatic) hemorrhage of newborn,P524
Subarachnoid (nontraumatic) hemorrhage of newborn,P525
Cerebellar (nontraumatic) and posterior fossa hemorrhage of newborn,P526
Other intracranial (nontraumatic) hemorrhages of newborn,P528
"Intracranial (nontraumatic) hemorrhage of newborn, unspecified",P529
Hemorrhagic disease of newborn,P53
Neonatal hematemesis,P540
Neonatal melena,P541
Neonatal rectal hemorrhage,P542
Other neonatal gastrointestinal hemorrhage,P543
Neonatal adrenal hemorrhage,P544
Neonatal cutaneous hemorrhage,P545
Neonatal vaginal hemorrhage,P546
Other specified neonatal hemorrhages,P548
"Neonatal hemorrhage, unspecified",P549
Rh isoimmunization of newborn,P550
ABO isoimmunization of newborn,P551
Other hemolytic diseases of newborn,P558
"Hemolytic disease of newborn, unspecified",P559
Hydrops fetalis due to isoimmunization,P560
Hydrops fetalis due to unspecified hemolytic disease,P569
Hydrops fetalis due to other hemolytic disease,P569
Kernicterus due to isoimmunization,P570
Other specified kernicterus,P578
"Kernicterus, unspecified",P579
Neonatal jaundice due to bruising,P580
Neonatal jaundice due to bleeding,P581
Neonatal jaundice due to infection,P582
Neonatal jaundice due to polycythemia,P583
Neonatal jaundice due to drugs or toxins transmitted from mother,P584
Neonatal jaundice due to drugs or toxins given to newborn,P584
Neonatal jaundice due to swallowed maternal blood,P585
Neonatal jaundice due to other specified excessive hemolysis,P588
"Neonatal jaundice due to excessive hemolysis, unspecified",P589
Neonatal jaundice associated with preterm delivery,P590
Inspissated bile syndrome,P591
Neonatal jaundice from unspecified hepatocellular damage,P592
Neonatal jaundice from other hepatocellular damage,P592
Neonatal jaundice from breast milk inhibitor,P593
Neonatal jaundice from other specified causes,P598
"Neonatal jaundice, unspecified",P599
Disseminated intravascular coagulation of newborn,P60
Transient neonatal thrombocytopenia,P610
Polycythemia neonatorum,P611
Anemia of prematurity,P612
Congenital anemia from fetal blood loss,P613
"Other congenital anemias, not elsewhere classified",P614
Transient neonatal neutropenia,P615
Other transient neonatal disorders of coagulation,P616
Other specified perinatal hematological disorders,P618
"Perinatal hematological disorder, unspecified",P619
Syndrome of infant of mother with gestational diabetes,P700
Syndrome of infant of a diabetic mother,P701
Neonatal diabetes mellitus,P702
Iatrogenic neonatal hypoglycemia,P703
Other neonatal hypoglycemia,P704
Other transitory disorders of carbohydrate metabolism of newborn,P708
"Transitory disorder of carbohydrate metabolism of newborn, unspecified",P709
Cow's milk hypocalcemia in newborn,P710
Other neonatal hypocalcemia,P711
Neonatal hypomagnesemia,P712
Neonatal tetany without calcium or magnesium deficiency,P713
Transitory neonatal hypoparathyroidism,P714
Other transitory neonatal disorders of calcium and magnesium metabolism,P718
"Transitory neonatal disorder of calcium and magnesium metabolism, unspecified",P719
"Neonatal goiter, not elsewhere classified",P720
Transitory neonatal hyperthyroidism,P721
"Other transitory neonatal disorders of thyroid function, not elsewhere classified",P722
Other specified transitory neonatal endocrine disorders,P728
"Transitory neonatal endocrine disorder, unspecified",P729
Late metabolic acidosis of newborn,P740
Dehydration of newborn,P741
Disturbances of sodium balance of newborn,P742
Disturbances of potassium balance of newborn,P743
Other transitory electrolyte disturbances of newborn,P744
Transitory tyrosinemia of newborn,P745
Transitory hyperammonemia of newborn,P746
Other transitory metabolic disturbances of newborn,P748
"Transitory metabolic disturbance of newborn, unspecified",P749
Meconium plug syndrome,P760
Transitory ileus of newborn,P761
Intestinal obstruction due to inspissated milk,P762
Other specified intestinal obstruction of newborn,P768
"Intestinal obstruction of newborn, unspecified",P769
Stage 1 necrotizing enterocolitis in newborn,P771
Stage 2 necrotizing enterocolitis in newborn,P772
Stage 3 necrotizing enterocolitis in newborn,P773
"Necrotizing enterocolitis in newborn, unspecified",P779
Perinatal intestinal perforation,P780
Other neonatal peritonitis,P781
Neonatal hematemesis and melena due to swallowed maternal blood,P782
Noninfective neonatal diarrhea,P783
Congenital cirrhosis (of liver),P788
Peptic ulcer of newborn,P788
Newborn esophageal reflux,P788
Other specified perinatal digestive system disorders,P788
"Perinatal digestive system disorder, unspecified",P789
Cold injury syndrome,P800
Other hypothermia of newborn,P808
"Hypothermia of newborn, unspecified",P809
Environmental hyperthermia of newborn,P810
Other specified disturbances of temperature regulation of newborn,P818
"Disturbance of temperature regulation of newborn, unspecified",P819
Sclerema neonatorum,P830
Neonatal erythema toxicum,P831
Hydrops fetalis not due to hemolytic disease,P832
Unspecified edema specific to newborn,P833
Other edema specific to newborn,P833
Breast engorgement of newborn,P834
Congenital hydrocele,P835
Umbilical polyp of newborn,P836
Other specified conditions of integument specific to newborn,P838
"Condition of the integument specific to newborn, unspecified",P839
Other problems with newborn,P84
Convulsions of newborn,P90
Neonatal cerebral ischemia,P910
Acquired periventricular cysts of newborn,P911
Neonatal cerebral leukomalacia,P912
Neonatal cerebral irritability,P913
Neonatal cerebral depression,P914
Neonatal coma,P915
"Hypoxic ischemic encephalopathy [HIE], unspecified",P916
Mild hypoxic ischemic encephalopathy [HIE],P916
Moderate hypoxic ischemic encephalopathy [HIE],P916
Severe hypoxic ischemic encephalopathy [HIE],P916
Other specified disturbances of cerebral status of newborn,P918
"Disturbance of cerebral status of newborn, unspecified",P919
Bilious vomiting of newborn,P920
Other vomiting of newborn,P920
Regurgitation and rumination of newborn,P921
Slow feeding of newborn,P922
Underfeeding of newborn,P923
Overfeeding of newborn,P924
Neonatal difficulty in feeding at breast,P925
Failure to thrive in newborn,P926
Other feeding problems of newborn,P928
"Feeding problem of newborn, unspecified",P929
Grey baby syndrome,P930
Other reactions and intoxications due to drugs administered to newborn,P938
Transient neonatal myasthenia gravis,P940
Congenital hypertonia,P941
Congenital hypotonia,P942
Other disorders of muscle tone of newborn,P948
"Disorder of muscle tone of newborn, unspecified",P949
Stillbirth,P95
Congenital renal failure,P960
Neonatal withdrawal symptoms from maternal use of drugs of addiction,P961
Withdrawal symptoms from therapeutic use of drugs in newborn,P962
Wide cranial sutures of newborn,P963
Complication to newborn due to (fetal) intrauterine procedure,P965
Exposure to (parental) (environmental) tobacco smoke in the perinatal period,P968
Delayed separation of umbilical cord,P968
Meconium staining,P968
Other specified conditions originating in the perinatal period,P968
"Condition originating in the perinatal period, unspecified",P969
Anencephaly,Q000
Craniorachischisis,Q001
Iniencephaly,Q002
Frontal encephalocele,Q010
Nasofrontal encephalocele,Q011
Occipital encephalocele,Q012
Encephalocele of other sites,Q018
"Encephalocele, unspecified",Q019
Microcephaly,Q02
Malformations of aqueduct of Sylvius,Q030
Atresia of foramina of Magendie and Luschka,Q031
Other congenital hydrocephalus,Q038
"Congenital hydrocephalus, unspecified",Q039
Congenital malformations of corpus callosum,Q040
Arhinencephaly,Q041
Holoprosencephaly,Q042
Other reduction deformities of brain,Q043
Septo-optic dysplasia of brain,Q044
Megalencephaly,Q045
Congenital cerebral cysts,Q046
Other specified congenital malformations of brain,Q048
"Congenital malformation of brain, unspecified",Q049
Cervical spina bifida with hydrocephalus,Q050
Thoracic spina bifida with hydrocephalus,Q051
Lumbar spina bifida with hydrocephalus,Q052
Sacral spina bifida with hydrocephalus,Q053
Unspecified spina bifida with hydrocephalus,Q054
Cervical spina bifida without hydrocephalus,Q055
Thoracic spina bifida without hydrocephalus,Q056
Lumbar spina bifida without hydrocephalus,Q057
Sacral spina bifida without hydrocephalus,Q058
"Spina bifida, unspecified",Q059
Amyelia,Q060
Hypoplasia and dysplasia of spinal cord,Q061
Diastematomyelia,Q062
Other congenital cauda equina malformations,Q063
Hydromyelia,Q064
Other specified congenital malformations of spinal cord,Q068
"Congenital malformation of spinal cord, unspecified",Q069
Arnold-Chiari syndrome without spina bifida or hydrocephalus,Q070
Arnold-Chiari syndrome with spina bifida,Q070
Arnold-Chiari syndrome with hydrocephalus,Q070
Arnold-Chiari syndrome with spina bifida and hydrocephalus,Q070
Other specified congenital malformations of nervous system,Q078
"Congenital malformation of nervous system, unspecified",Q079
Congenital ptosis,Q100
Congenital ectropion,Q101
Congenital entropion,Q102
Other congenital malformations of eyelid,Q103
Absence and agenesis of lacrimal apparatus,Q104
Congenital stenosis and stricture of lacrimal duct,Q105
Other congenital malformations of lacrimal apparatus,Q106
Congenital malformation of orbit,Q107
Cystic eyeball,Q110
Other anophthalmos,Q111
Microphthalmos,Q112
Macrophthalmos,Q113
Congenital cataract,Q120
Congenital displaced lens,Q121
Coloboma of lens,Q122
Congenital aphakia,Q123
Spherophakia,Q124
Other congenital lens malformations,Q128
"Congenital lens malformation, unspecified",Q129
Coloboma of iris,Q130
Absence of iris,Q131
Other congenital malformations of iris,Q132
Congenital corneal opacity,Q133
Other congenital corneal malformations,Q134
Blue sclera,Q135
Rieger's anomaly,Q138
Other congenital malformations of anterior segment of eye,Q138
